dataset,classifier,LDA n_components (mode),LDA n_components (mean)
1,DT,3,7.6375
1,KNN,3,7.9
1,MLP,3,8.48125
1,RF,3,8.1375
1,SVM,13,7.8
2,DT,3,7.946666666666666
2,KNN,3,8.226666666666667
2,MLP,3,8.846666666666666
2,RF,3,8.48
2,SVM,13,8.126666666666667
3,DT,3,8.3
3,KNN,3,8.6
3,MLP,3,9.264285714285714
3,RF,3,8.871428571428572
3,SVM,13,8.521428571428572
4,DT,3,8.707692307692307
4,KNN,3,9.03076923076923
4,MLP,3,9.746153846153845
4,RF,3,9.323076923076924
4,SVM,13,9.069230769230769
5,DT,3,9.183333333333334
5,KNN,3,9.533333333333333
5,MLP,3,10.4
5,RF,3,9.85
5,SVM,13,9.666666666666666
6,DT,3,9.745454545454546
6,KNN,3,10.127272727272727
6,MLP,14,11.072727272727272
6,RF,3,10.472727272727273
6,SVM,13,10.272727272727273
7,DT,14,10.42
7,KNN,3,10.84
7,MLP,14,11.88
7,RF,15,11.22
7,SVM,13,11.0
8,DT,14,11.244444444444444
8,KNN,15,11.71111111111111
8,MLP,14,12.866666666666667
8,RF,15,12.133333333333333
8,SVM,13,11.911111111111111
9,DT,14,12.275
9,KNN,15,12.8
9,MLP,14,14.1
9,RF,15,13.275
9,SVM,13,13.05
10,DT,14,12.214285714285714
10,KNN,14,12.614285714285714
10,MLP,14,14.157142857142857
10,RF,15,13.128571428571428
10,SVM,13,13.057142857142857
11,DT,14,12.3
11,KNN,14,12.683333333333334
11,MLP,14,14.133333333333333
11,RF,15,13.116666666666667
11,SVM,13,13.066666666666666
12,DT,14,12.58
12,KNN,14,13.02
12,MLP,14,14.18
12,RF,15,13.48
12,SVM,13,13.02
13,DT,14,13.45
13,KNN,14,13.7
13,MLP,14,14.175
13,RF,15,14.15
13,SVM,13,13.0
14,DT,14,13.6
14,KNN,14,13.6
14,MLP,15,14.233333333333333
14,RF,15,14.066666666666666
14,SVM,13,13.0
15,DT,14,13.55
15,KNN,14,13.5
15,MLP,15,14.25
15,RF,15,14.05
15,SVM,13,13.0
16,DT,14,13.5
16,KNN,14,13.5
16,MLP,15,14.2
16,RF,15,13.9
16,SVM,13,13.0
