dataset,phase,classifier,Accuracy (mean±std),F1 (mean±std),n_folds
1,Before FS-DR,DT,0.9531 ± 0.0586,0.7339 ± 0.2782,160
1,Before FS-DR,KNN,0.9413 ± 0.0531,0.6900 ± 0.2473,160
1,Before FS-DR,MLP,0.9430 ± 0.0533,0.6833 ± 0.2630,160
1,Before FS-DR,RF,0.9567 ± 0.0583,0.7542 ± 0.2813,160
1,Before FS-DR,SVM,0.9373 ± 0.0563,0.6755 ± 0.2939,160
2,Before FS-DR,DT,0.9500 ± 0.0593,0.7179 ± 0.2794,150
2,Before FS-DR,KNN,0.9382 ± 0.0534,0.6816 ± 0.2515,150
2,Before FS-DR,MLP,0.9404 ± 0.0541,0.6738 ± 0.2671,150
2,Before FS-DR,RF,0.9538 ± 0.0591,0.7395 ± 0.2838,150
2,Before FS-DR,SVM,0.9344 ± 0.0570,0.6619 ± 0.2970,150
3,Before FS-DR,DT,0.9494 ± 0.0613,0.7285 ± 0.2862,140
3,Before FS-DR,KNN,0.9371 ± 0.0551,0.6880 ± 0.2590,140
3,Before FS-DR,MLP,0.9401 ± 0.0560,0.6844 ± 0.2733,140
3,Before FS-DR,RF,0.9533 ± 0.0612,0.7508 ± 0.2904,140
3,Before FS-DR,SVM,0.9366 ± 0.0584,0.6806 ± 0.2988,140
4,Before FS-DR,DT,0.9545 ± 0.0605,0.7440 ± 0.2913,130
4,Before FS-DR,KNN,0.9412 ± 0.0551,0.6997 ± 0.2651,130
4,Before FS-DR,MLP,0.9448 ± 0.0553,0.6995 ± 0.2778,130
4,Before FS-DR,RF,0.9584 ± 0.0606,0.7670 ± 0.2950,130
4,Before FS-DR,SVM,0.9432 ± 0.0552,0.7095 ± 0.2906,130
5,Before FS-DR,DT,0.9633 ± 0.0544,0.7688 ± 0.2896,120
5,Before FS-DR,KNN,0.9487 ± 0.0503,0.7215 ± 0.2645,120
5,Before FS-DR,MLP,0.9532 ± 0.0489,0.7316 ± 0.2648,120
5,Before FS-DR,RF,0.9671 ± 0.0546,0.7930 ± 0.2924,120
5,Before FS-DR,SVM,0.9515 ± 0.0490,0.7464 ± 0.2714,120
6,Before FS-DR,DT,0.9600 ± 0.0557,0.7480 ± 0.2938,110
6,Before FS-DR,KNN,0.9453 ± 0.0512,0.6991 ± 0.2651,110
6,Before FS-DR,MLP,0.9504 ± 0.0501,0.7097 ± 0.2659,110
6,Before FS-DR,RF,0.9641 ± 0.0560,0.7744 ± 0.2985,110
6,Before FS-DR,SVM,0.9488 ± 0.0504,0.7259 ± 0.2745,110
7,Before FS-DR,DT,0.9560 ± 0.0569,0.7231 ± 0.2969,100
7,Before FS-DR,KNN,0.9412 ± 0.0520,0.6722 ± 0.2634,100
7,Before FS-DR,MLP,0.9471 ± 0.0515,0.6837 ± 0.2652,100
7,Before FS-DR,RF,0.9605 ± 0.0576,0.7521 ± 0.3042,100
7,Before FS-DR,SVM,0.9455 ± 0.0517,0.7012 ± 0.2760,100
8,Before FS-DR,DT,0.9511 ± 0.0580,0.6924 ± 0.2975,90
8,Before FS-DR,KNN,0.9365 ± 0.0527,0.6608 ± 0.2733,90
8,Before FS-DR,MLP,0.9436 ± 0.0531,0.6766 ± 0.2776,90
8,Before FS-DR,RF,0.9562 ± 0.0592,0.7274 ± 0.3101,90
8,Before FS-DR,SVM,0.9416 ± 0.0530,0.6815 ± 0.2813,90
9,Before FS-DR,DT,0.9450 ± 0.0587,0.6602 ± 0.2983,80
9,Before FS-DR,KNN,0.9307 ± 0.0531,0.6466 ± 0.2847,80
9,Before FS-DR,MLP,0.9390 ± 0.0545,0.6685 ± 0.2931,80
9,Before FS-DR,RF,0.9509 ± 0.0607,0.6998 ± 0.3164,80
9,Before FS-DR,SVM,0.9367 ± 0.0543,0.6569 ± 0.2860,80
10,Before FS-DR,DT,0.9395 ± 0.0609,0.6301 ± 0.3073,70
10,Before FS-DR,KNN,0.9250 ± 0.0545,0.6150 ± 0.2909,70
10,Before FS-DR,MLP,0.9335 ± 0.0562,0.6375 ± 0.3004,70
10,Before FS-DR,RF,0.9452 ± 0.0629,0.6674 ± 0.3255,70
10,Before FS-DR,SVM,0.9319 ± 0.0565,0.6288 ± 0.2951,70
11,Before FS-DR,DT,0.9385 ± 0.0657,0.6490 ± 0.3280,60
11,Before FS-DR,KNN,0.9224 ± 0.0584,0.6298 ± 0.3117,60
11,Before FS-DR,MLP,0.9320 ± 0.0606,0.6531 ± 0.3218,60
11,Before FS-DR,RF,0.9439 ± 0.0679,0.6879 ± 0.3474,60
11,Before FS-DR,SVM,0.9308 ± 0.0609,0.6430 ± 0.3162,60
12,Before FS-DR,DT,0.9526 ± 0.0630,0.7319 ± 0.2956,50
12,Before FS-DR,KNN,0.9338 ± 0.0575,0.7065 ± 0.2844,50
12,Before FS-DR,MLP,0.9449 ± 0.0582,0.7365 ± 0.2864,50
12,Before FS-DR,RF,0.9585 ± 0.0651,0.7772 ± 0.3106,50
12,Before FS-DR,SVM,0.9439 ± 0.0584,0.7234 ± 0.2842,50
13,Before FS-DR,DT,0.9838 ± 0.0032,0.8777 ± 0.0260,40
